time_window,total_iterations,iterations,converged,qn_columns,deleted_qn_columns,dropped_qn_columns
523,1291,2,1,10,0,1
524,1293,2,1,10,0,1
525,1295,2,1,10,0,1
526,1297,2,1,10,1,0
527,1299,2,1,10,1,0
528,1301,2,1,10,0,1
529,1303,2,1,10,1,0
530,1305,2,1,10,1,0
531,1307,2,1,10,0,1
532,1309,2,1,10,0,1
533,1311,2,1,10,0,1
534,1313,2,1,10,0,1
535,1315,2,1,10,0,1
536,1317,2,1,10,0,1
537,1319,2,1,10,1,0
538,1321,2,1,10,0,1
539,1323,2,1,10,0,1
540,1325,2,1,10,0,1
541,1327,2,1,10,1,0
542,1329,2,1,10,1,0
543,1331,2,1,10,0,1
544,1333,2,1,10,1,0
545,1335,2,1,10,1,0
546,1337,2,1,10,0,1
547,1339,2,1,10,1,0
548,1341,2,1,10,1,0
549,1343,2,1,10,0,1
550,1345,2,1,10,1,0
551,1347,2,1,10,0,1
552,1349,2,1,10,0,1
553,1351,2,1,10,1,0
554,1353,2,1,10,0,1
555,1355,2,1,10,1,0
556,1357,2,1,10,0,1
557,1359,2,1,10,0,1
558,1361,2,1,10,0,1
559,1363,2,1,10,1,0
560,1365,2,1,10,0,1
561,1367,2,1,10,1,0
562,1369,2,1,10,0,1
563,1371,2,1,10,1,0
564,1373,2,1,10,1,0
565,1375,2,1,9,2,0
566,1377,2,1,9,1,0
567,1379,2,1,10,0,0
568,1381,2,1,9,2,0
569,1383,2,1,10,0,0
570,1385,2,1,10,1,0
571,1387,2,1,10,1,0
572,1389,2,1,9,2,0
573,1391,2,1,9,1,0
574,1393,2,1,9,1,0
575,1395,2,1,9,1,0
576,1397,2,1,9,1,0
577,1399,2,1,9,1,0
578,1401,2,1,10,0,0
579,1403,2,1,9,2,0
580,1405,2,1,9,1,0
581,1407,2,1,10,0,0
582,1409,2,1,9,2,0
583,1411,2,1,10,0,0
584,1413,2,1,10,1,0
585,1415,2,1,10,1,0
586,1417,2,1,10,0,1
587,1419,2,1,10,1,0
588,1421,2,1,10,1,0
589,1423,2,1,10,1,0
590,1425,2,1,9,2,0
591,1427,2,1,9,1,0
592,1429,2,1,10,0,0
593,1431,2,1,10,1,0
594,1433,2,1,8,3,0
